,Event,Date
211,UFC Fight Night: Hermansson vs. Weidman,"May 2, 2020"
212,UFC Fight Night: Smith vs. Teixeira,"Apr 25, 2020"
213,UFC Fight Night: Overeem vs. Harris,"Apr 11, 2020"
214,UFC on ESPN: Ngannou vs. Rozenstruik,"Mar 28, 2020"
215,UFC Fight Night: Woodley vs. Edwards,"Mar 21, 2020"
216,UFC Fight Night: Lee vs. Oliveira,"Mar 14, 2020"
217,UFC 248: Adesanya vs. Romero,"Mar 7, 2020"
218,UFC Fight Night: Benavidez vs. Figueiredo,"Feb 29, 2020"
219,UFC Fight Night: Felder vs. Hooker,"Feb 23, 2020"
220,UFC Fight Night: Anderson vs. Błachowicz 2,"Feb 15, 2020"
221,UFC 247: Jones vs. Reyes,"Feb 8, 2020"
222,UFC Fight Night: Blaydes vs. dos Santos,"Jan 25, 2020"
223,UFC 246: McGregor vs. Cowboy,"Jan 18, 2020"
224,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec 21, 2019"
225,UFC 245: Usman vs. Covington,"Dec 14, 2019"
226,UFC on ESPN: Overeem vs. Rozenstruik,"Dec 7, 2019"
227,UFC Fight Night: Błachowicz vs. Jacaré,"Nov 16, 2019"
228,UFC Fight Night: Magomedsharipov vs. Kattar,"Nov 9, 2019"
229,UFC 244: Masvidal vs. Diaz,"Nov 2, 2019"
230,UFC Fight Night: Maia vs. Askren,"Oct 26, 2019"
231,UFC on ESPN: Reyes vs. Weidman,"Oct 18, 2019"
232,UFC Fight Night: Joanna vs. Waterson,"Oct 12, 2019"
233,UFC 243: Whittaker vs. Adesanya,"Oct 5, 2019"
234,UFC Fight Night: Hermansson vs. Cannonier,"Sep 28, 2019"
235,UFC Fight Night: Rodríguez vs. Stephens,"Sep 21, 2019"
236,UFC Fight Night: Cowboy vs. Gaethje,"Sep 14, 2019"
237,UFC 242: Khabib vs. Poirier,"Sep 7, 2019"
238,UFC Fight Night: Andrade vs. Zhang,"Aug 31, 2019"
239,UFC 241: Cormier vs. Miocic 2,"Aug 17, 2019"
240,UFC Fight Night: Shevchenko vs. Carmouche 2,"Aug 10, 2019"
241,UFC on ESPN: Covington vs. Lawler,"Aug 3, 2019"
242,UFC 240: Holloway vs. Edgar,"Jul 27, 2019"
243,UFC on ESPN: dos Anjos vs. Edwards,"Jul 20, 2019"
244,UFC Fight Night: de Randamie vs. Ladd,"Jul 13, 2019"
245,UFC 239: Jones vs. Santos,"Jul 6, 2019"
246,UFC on ESPN: Ngannou vs. dos Santos,"Jun 29, 2019"
247,UFC Fight Night: Moicano vs. The Korean Zombie,"Jun 22, 2019"
248,UFC 238: Cejudo vs. Moraes,"Jun 8, 2019"
249,UFC Fight Night: Gustafsson vs. Smith,"Jun 1, 2019"
250,UFC Fight Night: dos Anjos vs. Lee,"May 18, 2019"
251,UFC 237: Namajunas vs. Andrade,"May 11, 2019"
252,UFC Fight Night: Iaquinta vs. Cowboy,"May 4, 2019"
253,UFC Fight Night: Jacaré vs. Hermansson,"Apr 27, 2019"
254,UFC Fight Night: Overeem vs. Oleinik,"Apr 20, 2019"
255,UFC 236: Holloway vs. Poirier 2,"Apr 13, 2019"
256,UFC on ESPN: Barboza vs. Gaethje,"Mar 30, 2019"
257,UFC Fight Night: Thompson vs. Pettis,"Mar 23, 2019"
258,UFC Fight Night: Till vs. Masvidal,"Mar 16, 2019"
259,UFC Fight Night: Lewis vs. dos Santos,"Mar 9, 2019"
260,UFC 235: Jones vs. Smith,"Mar 2, 2019"
261,UFC Fight Night: Błachowicz vs. Santos,"Feb 23, 2019"
262,UFC on ESPN: Ngannou vs. Velasquez,"Feb 17, 2019"
263,UFC 234: Adesanya vs. Silva,"Feb 10, 2019"
264,UFC Fight Night: Assunção vs. Moraes 2,"Feb 2, 2019"
265,UFC 233: Cejudo vs. Dillashaw,"Jan 26, 2019"
266,UFC Fight Night: Cejudo vs. Dillashaw,"Jan 19, 2019"
267,UFC 232: Jones vs. Gustafsson 2,"Dec 29, 2018"
268,UFC on Fox: Lee vs. Iaquinta 2,"Dec 15, 2018"
269,UFC 231: Holloway vs. Ortega,"Dec 8, 2018"
270,UFC Fight Night: dos Santos vs. Tuivasa,"Dec 2, 2018"
271,The Ultimate Fighter: Heavy Hitters Finale,"Nov 30, 2018"
272,UFC Fight Night: Blaydes vs. Ngannou 2,"Nov 24, 2018"
273,UFC Fight Night: Magny vs. Ponzinibbio,"Nov 17, 2018"
274,UFC Fight Night: The Korean Zombie vs. Rodríguez,"Nov 10, 2018"
275,UFC 230: Cormier vs. Lewis,"Nov 3, 2018"
276,UFC Fight Night: Volkan vs. Smith,"Oct 27, 2018"
277,UFC 229: Khabib vs. McGregor,"Oct 6, 2018"
278,UFC Fight Night: Santos vs. Anders,"Sep 22, 2018"
279,UFC Fight Night: Hunt vs. Oleinik,"Sep 15, 2018"
