,fighter,final_elo
606,Joe Vedepo,1468.036771755841
607,Neil Wain,1484.7715768061603
608,Jim Miller,1569.9432131518467
609,David Baron,1484.0
610,Dan Hardy,1541.3138683982463
611,Junior Dos Santos,1573.592253264928
612,Matt Horwich,1468.8132558998404
613,Josh Hendricks,1485.9608126347237
614,Rafael Dos Anjos,1572.2596627663277
615,Steve Cantwell,1437.6914348968214
616,Razak Al-Hassan,1468.0
617,Brandon Wolff,1470.2749935758038
618,Efrain Escudero,1471.4733707897321
619,Phillipe Nover,1432.817857008808
620,Ryan Bader,1639.6662238996832
621,Vinny Magalhaes,1460.492314737188
622,Rolando Delgado,1483.3857024917957
623,John Polakowski,1484.0
624,Krzysztof Soszynski,1533.8291331936175
625,Shane Primm,1484.0
626,Eliot Marshall,1497.151889654283
627,Jules Bruchez,1484.0
628,Tom Lawlor,1515.3014049098467
629,Kyle Kingsbury,1480.3103238817243
630,Shane Nelson,1495.9923029998981
631,George Roop,1466.321051384264
632,Junie Browning,1500.6423131704037
633,David Kaplan,1468.0
634,Mostapha Al-Turk,1455.9425281708232
635,Mike Wessel,1484.8718345294537
636,Pat Barry,1472.5709157315252
637,Denis Kang,1488.6504839788893
638,John Hathaway,1570.6402497013935
639,Tom Egan,1484.0
640,Alexandre Barros,1486.0052467549365
641,Ivan Serati,1483.2976682950234
642,Dan Cramer,1500.669066335465
643,John Howard,1494.061027600187
644,Denis Stojnic,1469.468428471818
645,Jake Rosholt,1489.0134733080117
646,Matt Veach,1486.9079163026752
647,Nick Catone,1500.9406923247573
648,Derek Downey,1484.0
649,Paulo Thiago,1466.2421884715634
650,Brian Cobb,1484.049971211503
651,Stefan Struve,1507.0940431642505
652,Evan Dunham,1530.470697710106
653,Mike Ciesnolevicz,1499.329952365298
654,Neil Grove,1484.0
655,Mark Munoz,1547.0298438453274
656,Ryan Madigan,1484.0064585084572
657,Carlos Condit,1514.6855262007819
658,Aaron Simpson,1537.9972897692305
659,Tim McKenzie,1484.0
660,Jesse Sanders,1484.0339081301693
661,Nissen Osterneck,1483.497089423516
662,Brian Stann,1514.8606464585055
663,Xavier Foupa-Pokam,1467.3118808455529
664,TJ Grant,1585.538774257774
665,Mike Pyle,1504.1145838191824
666,Tim Hague,1456.3698732209946
667,Peter Sobotta,1484.5859236692277
668,Rick Story,1574.936402097379
669,James Wilks,1499.820837499609
670,DaMarques Johnson,1473.96282616626
671,Ross Pearson,1473.7978369417008
672,Andre Winner,1470.3327782563706
673,Edgar Garcia,1439.38843910957
674,Nick Osipczak,1483.3198578177905
675,Frank Lester,1484.0
676,Cameron Dollar,1482.5316223384873
677,Yoshihiro Akiyama,1466.8376689392999
678,Johny Hendricks,1558.8744189591916
679,Jesse Lennox,1482.631319664891
680,Danillo Villefort,1484.0
681,Mike Russow,1527.13169209955
682,Todd Duffee,1517.5993806745828
683,Chris Tuchscherer,1470.2474955294092
684,Jake Ellenberger,1482.5395271879158
685,Jay Silva,1469.9235432056603
686,Mike Pierce,1558.0341498981948
687,Steve Steinbeiss,1466.7056356068517
688,Paul Daley,1523.5536864760577
689,Steve Lopez,1469.544059540594
690,Nik Lentz,1546.1670024224593
691,Rafaello Oliveira,1449.318951222014
692,Brian Foster,1515.820432604691
693,Igor Pokrajac,1443.2890598919582
694,Ben Rothwell,1526.916754144573
695,Chase Gormley,1468.035966191372
696,Alexander Gustafsson,1534.6516140728097
697,Jared Hamman,1454.6813034277018
698,Fabricio Camoes,1461.8784029872643
699,Rogerio Nogueira,1504.7382552039096
700,Jacob Volkmann,1531.039881951596
701,Roy Nelson,1497.037428393636
702,Brendan Schaub,1518.0551937820783
703,Kevin Ferguson,1499.2848090570635
704,Rodney Wallace,1455.0088857331875
705,James McSweeney,1483.2976013366472
706,Darrill Schoonover,1484.0
707,Jon Madsen,1540.023138183182
708,Justin Wren,1484.0
709,Joe Brammer,1468.4074744460877
710,Matt Mitrione,1547.6146100371961
711,Marcus Jones,1484.0
712,Ricardo Funch,1441.787571971999
713,Lucio Linhares,1472.8688171113915
714,Gilbert Yvel,1457.5563236715768
715,John Gunderson,1485.2462995276744
716,Rory MacDonald,1578.1247143634043
717,Mike Guymon,1469.752511345237
718,Gerald Harris,1527.729526119354
719,John Salter,1484.7886651117196
720,Ronys Torres,1468.0234856158163
721,Joey Beltran,1452.5819177321703
722,Rolles Gracie,1484.0
723,Phil Davis,1585.2239348884318
724,James Te Huna,1493.1784641458453
725,Darren Elkins,1586.094215458784
726,Daniel Roberts,1485.8847760497756
727,Julio Paulino,1469.0452454559347
728,Greg Soto,1487.4760182946727
729,Takanori Gomi,1446.2160273561628
730,Mario Miranda,1473.5504898587033
731,Charlie Brenneman,1456.113860152746
732,Jason High,1490.4762124369843
733,Renzo Gracie,1489.44338239022
734,Waylon Lowe,1503.354015056203
735,Cyrille Diabate,1494.3032250984843
736,Claude Patrick,1530.7350373683382
737,Court McGee,1486.0240069026977
738,Kris McCray,1456.206200147835
739,Mark Holst,1468.0015544510898
740,Brad Tavares,1546.634590351598
741,Seth Baczynski,1484.0508970504493
742,Kyle Noke,1487.9065577161093
743,Josh Bryant,1484.0
744,Chris Camozzi,1482.219385816401
745,James Hammortree,1484.0
746,Travis Browne,1527.1977599076715
747,Rich Attonito,1512.7235768659211
748,Jamie Yager,1484.0
